,ColumnName.LEVEL,ColumnName.TYPE,ColumnName.HAS_NOVEL_OBJECT,ColumnName.MAX_REWARD_DIFFERENCE,ColumnName.AVG_REWARD_DIFFERENCE,ColumnName.MAX_PDDL_INCONSISTENCY,ColumnName.AVG_PDDL_INCONSISTENCY,ColumnName.HYDRA_NOVELTY_DETECTED,ColumnName.GROUND_TRUTH
0,0,5,0,0.6766008626973606,0.6766008626973606,79.7872340425532,79.7872340425532,1,0
1,0,5,0,0.30425838915457987,0.1791685475702153,67.0,55.97258005669221,1,0
2,0,5,0,1.1126278197177222,0.5097848763954481,92.5,59.15299227799228,1,0
3,0,5,0,0.3054447389813935,0.12887942754227025,61.016949152542374,37.28813559322034,0,0
4,0,5,0,0.17951837182044983,0.12177663977428149,69.23076923076923,23.076923076923077,0,0
5,0,5,0,0.16801883963129327,0.1354648659546529,50.72463768115942,25.36231884057971,0,0
6,0,5,0,1.0661829501192528,1.0661829501192528,84.375,84.375,1,0
7,0,5,0,0.1363762321350018,0.07698840247131389,50.265957446808514,40.21164613661814,0,0
8,0,5,0,0.8676981439626646,0.8676981439626646,50.505050505050505,50.505050505050505,1,0
9,0,5,0,0.1785543578229774,0.11707089165582603,79.05405405405405,36.388513513513516,0,0
10,24,1,0,0.019794702529907227,0.019794702529907227,0.0,0.0,0,1
11,24,1,0,0.014908866925020147,0.014908866925020147,0.0,0.0,0,1
12,24,1,0,0.19850412138386064,0.19850412138386064,0.0,0.0,0,1
13,24,1,0,0.21866077886615126,0.21866077886615126,0.0,0.0,0,1
14,24,1,0,0.01264782177825128,0.01264782177825128,0.0,0.0,0,1
15,24,1,0,0.22222243931561536,0.22222243931561536,0.0,0.0,0,1
16,24,1,0,0.026091081593927895,0.026091081593927895,0.0,0.0,0,1
17,24,1,0,0.2618595825426945,0.2618595825426945,0.0,0.0,0,1
18,24,1,0,0.022629945035281623,0.022629945035281623,0.0,0.0,0,1
19,24,1,0,0.041369748155125174,0.041369748155125174,0.0,0.0,0,1
20,24,1,0,0.09658874147898558,0.09658874147898558,0.0,0.0,0,1
21,24,1,0,0.034964977182179294,0.034964977182179294,0.0,0.0,0,1
22,24,1,0,0.0016669633266369333,0.0016669633266369333,0.0,0.0,0,1
23,24,1,0,0.023244781783681213,0.023244781783681213,0.0,0.0,0,1
24,24,1,0,0.07454456388950348,0.07454456388950348,0.0,0.0,0,1
25,24,1,0,0.025616698292220113,0.025616698292220113,0.0,0.0,0,1
26,24,1,0,0.052680991264855384,0.052680991264855384,0.0,0.0,0,1
27,24,1,0,0.36680702845684376,0.36680702845684376,0.0,0.0,0,1
28,24,1,0,0.08011641281266366,0.08011641281266366,0.0,0.0,0,1
29,24,1,0,0.26328273244781786,0.26328273244781786,0.0,0.0,0,1
30,25,1,0,0.07070124113978199,0.07070124113978199,80.0,80.0,1,1
31,25,1,0,0.10901259809053826,0.10901259809053826,0.0,0.0,0,1
32,25,1,0,0.00362201826646924,0.00362201826646924,100.0,100.0,1,1
33,25,1,0,0.11859582542694497,0.11859582542694497,0.0,0.0,0,1
34,25,1,0,0.11258862857959556,0.11258862857959556,0.0,0.0,0,1
35,25,1,0,0.1075489095799215,0.1075489095799215,0.0,0.0,0,1
36,25,1,0,0.03248034790158272,0.03248034790158272,0.0,0.0,0,1
37,25,1,0,0.09985606923020768,0.09985606923020768,100.0,100.0,1,1
38,25,1,0,0.08730218365109849,0.08730218365109849,66.66666666666666,66.66666666666666,1,1
39,25,1,0,0.11255134515238102,0.11255134515238102,75.0,75.0,1,1
40,25,1,0,0.11859582542694497,0.11859582542694497,0.0,0.0,0,1
41,25,1,0,0.0953404424991282,0.0953404424991282,0.0,0.0,0,1
42,25,1,0,0.09735085620797562,0.09735085620797562,60.0,60.0,1,1
43,25,1,0,0.0689940321377604,0.0689940321377604,100.0,100.0,1,1
44,25,1,0,0.025201430544257164,0.025201430544257164,0.0,0.0,0,1
