trial_num,trial_type,novelty_level,episode_type,episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,pass,num_repairs,repair_time
0,unknown,22,non-novelty-performance,0,False,1,0,0,35750.0,Pass,0,0
0,unknown,22,non-novelty-performance,1,False,1,0,0,33760.0,Pass,0,0
0,unknown,22,non-novelty-performance,2,False,1,0,0,29340.0,Pass,0,0
0,unknown,22,non-novelty-performance,3,True,1,0,0,41250.0,Fail,4,183.43779134750366
0,unknown,22,non-novelty-performance,4,True,1,0,0,26190.0,Pass,1,186.7280752658844
0,unknown,22,novelty,5,True,1,0,0,0.0,Fail,0,0
0,unknown,22,novelty,6,True,1,0,0,180.0,Fail,0,0
0,unknown,22,novelty,7,True,1,0,0,3040.0,Fail,0,0
0,unknown,22,novelty,8,True,1,0,0,0.0,Fail,0,0
0,unknown,22,novelty,9,True,1,0,0,0.0,Fail,0,0
0,unknown,22,novelty,10,True,1,0,0,1000.0,Fail,0,0
0,unknown,22,novelty,11,True,1,0,0,1700.0,Fail,0,0
0,unknown,22,novelty,12,True,1,0,0,0.0,Fail,0,0
1,known,22,non-novelty-performance,0,False,1,0,0,52500.0,Pass,0,0
1,known,22,non-novelty-performance,1,False,1,0,0,34460.0,Pass,0,0
1,known,22,non-novelty-performance,2,False,1,0,0,60740.0,Pass,0,0
1,known,22,non-novelty-performance,3,False,1,0,0,12130.0,Fail,0,0
1,known,22,non-novelty-performance,4,False,1,0,0,22980.0,Fail,0,0
1,known,22,novelty,5,False,1,0,0,0.0,Fail,0,0
1,known,22,novelty,6,False,1,0,0,1000.0,Fail,0,0
1,known,22,novelty,7,False,1,0,0,0.0,Fail,0,0
1,known,22,novelty,8,False,1,0,0,2040.0,Fail,0,0
1,known,22,novelty,9,False,1,0,0,1000.0,Fail,0,0
1,known,22,novelty,10,False,1,0,0,0.0,Fail,0,0
1,known,22,novelty,11,False,1,0,0,1000.0,Fail,0,0
1,known,22,novelty,12,False,1,0,0,470.0,Fail,0,0
