,trial_num,episode_num,trial_type,episode_type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,3,2,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,3,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,4,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,5,unknown,novelty,0.0,0.999999,0,{},0.875,0.0,2.0,{'gravity': 12}
0,3,6,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,7,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,8,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,9,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,10,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,11,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,12,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,13,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,14,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,0,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,1,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,2,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,3,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,4,unknown,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,5,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,6,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,7,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,8,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,9,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,10,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,11,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,12,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,13,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,14,unknown,novelty,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,0,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,1,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,2,known,non-novelty-performance,0.0,0.999999,0,{},0.905,0.0,2.0,{'gravity': 12}
0,0,3,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
