,trial_num,episode_num,type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,1,11,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,1,12,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,1,13,known-novelty,1.0,0.999999,0,nothing,0.995,0.0,2.0,{'length': 0.3}
0,1,14,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,1,15,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,1,16,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,1,17,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,1,18,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,1,19,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,0,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,1,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,2,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,3,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,4,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,5,unknown-novelty,1.0,0.999999,0,nothing,0.26,0.0,2.0,{'length': 0.3}
0,2,6,unknown-novelty,1.0,0.999999,0,nothing,0.165,0.0,2.0,{'length': 0.3}
0,2,7,unknown-novelty,1.0,0.999999,0,nothing,0.33,0.0,2.0,{'length': 0.3}
0,2,8,unknown-novelty,1.0,0.999999,0,nothing,0.38,0.0,2.0,{'length': 0.3}
0,2,9,unknown-novelty,1.0,0.999999,0,nothing,0.39,0.0,2.0,{'length': 0.3}
0,2,10,unknown-novelty,1.0,0.999999,0,nothing,0.36,0.0,2.0,{'length': 0.3}
0,2,11,unknown-novelty,1.0,0.999999,0,nothing,0.18,0.0,2.0,{'length': 0.3}
0,2,12,unknown-novelty,1.0,0.999999,0,nothing,0.81,0.0,2.0,{'length': 0.3}
0,2,13,unknown-novelty,1.0,0.999999,0,nothing,0.6,0.0,2.0,{'length': 0.3}
0,2,14,unknown-novelty,1.0,0.999999,0,nothing,0.565,0.0,2.0,{'length': 0.3}
0,2,15,unknown-novelty,1.0,0.999999,0,nothing,0.395,0.0,2.0,{'length': 0.3}
0,2,16,unknown-novelty,1.0,0.999999,0,nothing,0.38,0.0,2.0,{'length': 0.3}
0,2,17,unknown-novelty,1.0,0.999999,0,nothing,0.345,0.0,2.0,{'length': 0.3}
0,2,18,unknown-novelty,1.0,0.999999,0,nothing,0.39,0.0,2.0,{'length': 0.3}
0,2,19,unknown-novelty,1.0,0.999999,0,nothing,0.605,0.0,2.0,{'length': 0.3}
0,2,5,known-novelty,1.0,0.999999,0,nothing,0.27,0.0,2.0,{'length': 0.3}
0,2,6,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,7,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,8,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,9,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,10,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,11,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,12,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
